input1	input2	input3	input4	input5	input6	output
1.299284	1.280676	1.248599	1.205554	1.154576	1.098538	1.039844
1.280676	1.248599	1.205554	1.154576	1.098538	1.039844	0.9803585
1.248599	1.205554	1.154576	1.098538	1.039844	0.9803585	0.9214564
1.205554	1.154576	1.098538	1.039844	0.9803585	0.9214564	0.8641096
1.154576	1.098538	1.039844	0.9803585	0.9214564	0.8641096	0.8089753
1.098538	1.039844	0.9803585	0.9214564	0.8641096	0.8089753	0.7564735
1.039844	0.9803585	0.9214564	0.8641096	0.8089753	0.7564735	0.7068484
0.9803585	0.9214564	0.8641096	0.8089753	0.7564735	0.7068484	0.660216
0.9214564	0.8641096	0.8089753	0.7564735	0.7068484	0.660216	0.6166006
0.8641096	0.8089753	0.7564735	0.7068484	0.660216	0.6166006	0.5750253
0.8089753	0.7564735	0.7068484	0.660216	0.6166006	0.5750253	0.5356469
0.7564735	0.7068484	0.660216	0.6166006	0.5750253	0.5356469	0.499272
0.7068484	0.660216	0.6166006	0.5750253	0.5356469	0.499272	0.46701
0.660216	0.6166006	0.5750253	0.5356469	0.499272	0.46701	0.4402132
0.6166006	0.5750253	0.5356469	0.499272	0.46701	0.4402132	0.4206516
0.5750253	0.5356469	0.499272	0.46701	0.4402132	0.4206516	0.4108018
0.5356469	0.499272	0.46701	0.4402132	0.4206516	0.4108018	0.4140479
0.499272	0.46701	0.4402132	0.4206516	0.4108018	0.4140479	0.4343679
0.46701	0.4402132	0.4206516	0.4108018	0.4140479	0.4343679	0.4748563
0.4402132	0.4206516	0.4108018	0.4140479	0.4343679	0.4748563	0.5350985
0.4206516	0.4108018	0.4140479	0.4343679	0.4748563	0.5350985	0.609452
0.4108018	0.4140479	0.4343679	0.4748563	0.5350985	0.609452	0.6887721
0.4140479	0.4343679	0.4748563	0.5350985	0.609452	0.6887721	0.7643487
0.4343679	0.4748563	0.5350985	0.609452	0.6887721	0.7643487	0.8304608
0.4748563	0.5350985	0.609452	0.6887721	0.7643487	0.8304608	0.8845156
0.5350985	0.609452	0.6887721	0.7643487	0.8304608	0.8845156	0.9260618
0.609452	0.6887721	0.7643487	0.8304608	0.8845156	0.9260618	0.9558038
0.6887721	0.7643487	0.8304608	0.8845156	0.9260618	0.9558038	0.9747757
0.7643487	0.8304608	0.8845156	0.9260618	0.9558038	0.9747757	0.9842196
0.8304608	0.8845156	0.9260618	0.9558038	0.9747757	0.9842196	0.9855561
0.8845156	0.9260618	0.9558038	0.9747757	0.9842196	0.9855561	0.9803564
0.9260618	0.9558038	0.9747757	0.9842196	0.9855561	0.9803564	0.9703393
0.9558038	0.9747757	0.9842196	0.9855561	0.9803564	0.9703393	0.9574211
0.9747757	0.9842196	0.9855561	0.9803564	0.9703393	0.9574211	0.9438281
0.9842196	0.9855561	0.9803564	0.9703393	0.9574211	0.9438281	0.9322426
0.9855561	0.9803564	0.9703393	0.9574211	0.9438281	0.9322426	0.9258712
0.9803564	0.9703393	0.9574211	0.9438281	0.9322426	0.9258712	0.9282
0.9703393	0.9574211	0.9438281	0.9322426	0.9258712	0.9282	0.9421941
0.9574211	0.9438281	0.9322426	0.9258712	0.9282	0.9421941	0.9690095
0.9438281	0.9322426	0.9258712	0.9282	0.9421941	0.9690095	1.00663
0.9322426	0.9258712	0.9282	0.9421941	0.9690095	1.00663	1.049095
0.9258712	0.9282	0.9421941	0.9690095	1.00663	1.049095	1.087861
0.9282	0.9421941	0.9690095	1.00663	1.049095	1.087861	1.115878
0.9421941	0.9690095	1.00663	1.049095	1.087861	1.115878	1.130812
0.9690095	1.00663	1.049095	1.087861	1.115878	1.130812	1.134553
1.00663	1.049095	1.087861	1.115878	1.130812	1.134553	1.13096
1.049095	1.087861	1.115878	1.130812	1.134553	1.13096	1.124097
1.087861	1.115878	1.130812	1.134553	1.13096	1.124097	1.1174
1.115878	1.130812	1.134553	1.13096	1.124097	1.1174	1.113388
1.130812	1.134553	1.13096	1.124097	1.1174	1.113388	1.113582
1.134553	1.13096	1.124097	1.1174	1.113388	1.113582	1.118473
1.13096	1.124097	1.1174	1.113388	1.113582	1.118473	1.127555
1.124097	1.1174	1.113388	1.113582	1.118473	1.127555	1.139449
1.1174	1.113388	1.113582	1.118473	1.127555	1.139449	1.152083
1.113388	1.113582	1.118473	1.127555	1.139449	1.152083	1.162758
1.113582	1.118473	1.127555	1.139449	1.152083	1.162758	1.167953
1.118473	1.127555	1.139449	1.152083	1.162758	1.167953	1.163186
1.127555	1.139449	1.152083	1.162758	1.167953	1.163186	1.144206
1.139449	1.152083	1.162758	1.167953	1.163186	1.144206	1.110024
1.152083	1.162758	1.167953	1.163186	1.144206	1.110024	1.06453
